participant_id,task,rep,phase,band,channel,erd_ref_trial_pct,erd_ref_restEDF_pct,is_simulated
P01,AGEM KANAN,1,POST,beta,P3,20045.274129333182,6747.912437532095,False
P01,AGEM KANAN,1,POST,beta,P4,5436.815726892828,7965.552411523858,False
P01,AGEM KANAN,1,POST,beta,O1,4711.509448620289,7230.3328096992645,False
P01,AGEM KANAN,1,POST,beta,O2,23354.67204196257,12344.653309802354,False
P01,AGEM KANAN,2,PRA,theta,C3,-46.71355791648308,1334.416453824404,False
P01,AGEM KANAN,2,PRA,theta,C4,-64.77151025890906,559.7499248603907,False
P01,AGEM KANAN,2,PRA,theta,P3,12.345772743457651,4177.686016932659,False
P01,AGEM KANAN,2,PRA,theta,P4,-86.91158655340558,249.0072177556682,False
P01,AGEM KANAN,2,PRA,theta,O1,-83.87406094240576,793.975283804682,False
P01,AGEM KANAN,2,PRA,theta,O2,-87.38971254536784,836.6557923115668,False
P01,AGEM KANAN,2,PRA,mu,C3,-89.27209223962863,719.0191208069065,False
P01,AGEM KANAN,2,PRA,mu,C4,-89.92704027406428,115.69973681145562,False
P01,AGEM KANAN,2,PRA,mu,P3,-13.508938737648467,2423.99613307295,False
P01,AGEM KANAN,2,PRA,mu,P4,-89.49694773450827,845.220218057938,False
P01,AGEM KANAN,2,PRA,mu,O1,-95.59191411236797,566.0705431307001,False
P01,AGEM KANAN,2,PRA,mu,O2,-96.12269033199692,1121.2450872794932,False
P01,AGEM KANAN,2,PRA,beta,C3,-64.31298694996647,460.62696067006294,False
P01,AGEM KANAN,2,PRA,beta,C4,-81.01514675133568,319.6558322836479,False
P01,AGEM KANAN,2,PRA,beta,P3,443.89088240964344,6748.63669857991,False
P01,AGEM KANAN,2,PRA,beta,P4,-69.66530487101161,276.0709323275987,False
P01,AGEM KANAN,2,PRA,beta,O1,-67.50627154626895,723.3176311372738,False
P01,AGEM KANAN,2,PRA,beta,O2,-90.45527883527093,442.0867415098327,False
P01,AGEM KANAN,2,TURUN,theta,C3,-82.63178079410636,367.5346753967136,False
P01,AGEM KANAN,2,TURUN,theta,C4,-68.15946831823089,496.3011340806781,False
P01,AGEM KANAN,2,TURUN,theta,P3,-69.77091877257992,1051.004750009935,False
P01,AGEM KANAN,2,TURUN,theta,P4,-49.54321308110477,1245.4482387272278,False
P01,AGEM KANAN,2,TURUN,theta,O1,-88.52648733409603,536.0582602417638,False
P01,AGEM KANAN,2,TURUN,theta,O2,-81.91297150985751,1243.452325091385,False
P01,AGEM KANAN,2,TURUN,mu,C3,-91.13587601925396,576.7290688545893,False
P01,AGEM KANAN,2,TURUN,mu,C4,-52.011219250873694,927.619255821817,False
P01,AGEM KANAN,2,TURUN,mu,P3,-94.26991785658741,67.21618351166147,False
P01,AGEM KANAN,2,TURUN,mu,P4,-64.57404689163178,3088.152003396166,False
P01,AGEM KANAN,2,TURUN,mu,O1,-96.02444793070576,500.7138230833478,False
P01,AGEM KANAN,2,TURUN,mu,O2,-84.33168411116195,4835.085263654387,False
P01,AGEM KANAN,2,TURUN,beta,C3,-62.990267928157586,481.40628293997463,False
P01,AGEM KANAN,2,TURUN,beta,C4,-46.99437147055304,1071.6772768737585,False
P01,AGEM KANAN,2,TURUN,beta,P3,-73.85524729639808,229.21293338821704,False
P01,AGEM KANAN,2,TURUN,beta,P4,198.294916752659,3598.0772997634185,False
P01,AGEM KANAN,2,TURUN,beta,O1,-43.129776174322984,1340.9629239400697,False
P01,AGEM KANAN,2,TURUN,beta,O2,83.29478526414513,10310.11792432025,False
P01,AGEM KANAN,2,TAHAN,theta,C3,-94.19808877852276,56.181508734841046,False
P01,AGEM KANAN,2,TAHAN,theta,C4,-99.42386907846348,-89.21037106651454,False
P01,AGEM KANAN,2,TAHAN,theta,P3,-97.23221465283467,5.386401181967959,False
P01,AGEM KANAN,2,TAHAN,theta,P4,-97.08316714590218,-22.221610493830855,False
P01,AGEM KANAN,2,TAHAN,theta,O1,-94.2005171746735,221.50650490335576,False
P01,AGEM KANAN,2,TAHAN,theta,O2,-99.46168242590156,-60.015322751647005,False
P01,AGEM KANAN,2,TAHAN,mu,C3,-89.05712726463288,735.4305617661264,False
P01,AGEM KANAN,2,TAHAN,mu,C4,-97.57480513476658,-48.0675086190968,False
P01,AGEM KANAN,2,TAHAN,mu,P3,-87.2421117040091,272.3027588664159,False
P01,AGEM KANAN,2,TAHAN,mu,P4,-98.4385160929604,40.52545124955862,False
P01,AGEM KANAN,2,TAHAN,mu,O1,-92.06489092953217,1099.0107595673635,False
P01,AGEM KANAN,2,TAHAN,mu,O2,-99.75191283000812,-21.85941709275786,False
P01,AGEM KANAN,2,TAHAN,beta,C3,2.5190684378644024,1510.5285603047155,False
P01,AGEM KANAN,2,TAHAN,beta,C4,-92.80860621568495,58.96411230086864,False
P01,AGEM KANAN,2,TAHAN,beta,P3,53.425514230768776,1831.9235553353838,False
P01,AGEM KANAN,2,TAHAN,beta,P4,-79.02321928948191,160.05725277579876,False
P01,AGEM KANAN,2,TAHAN,beta,O1,1.463560511028228,2470.8572780634904,False
P01,AGEM KANAN,2,TAHAN,beta,O2,-97.71057778760105,30.026368045797792,False
P01,AGEM KANAN,2,NAIK,theta,C3,-95.9723645590955,8.41982163839785,False
P01,AGEM KANAN,2,NAIK,theta,C4,-99.12716994265958,-83.6538673960082,False
