participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P15,AGEM KIRI,2,TURUN,beta,2120.582920743103,320.7613512515181,320.7613512515181,2120.582920743103,
P15,AGEM KIRI,2,TURUN,mu,4563.891135119835,170.26745611354403,170.26745611354403,4563.891135119835,
P15,AGEM KIRI,3,NAIK,beta,166.83139336628662,-58.461048721459676,-58.461048721459676,166.83139336628662,
P15,AGEM KIRI,3,NAIK,mu,250.53056866775145,-76.6755259374838,-76.6755259374838,250.53056866775145,
P15,AGEM KIRI,3,POST,beta,209366.01230751572,101.8310205467868,101.8310205467868,209366.01230751572,
P15,AGEM KIRI,3,POST,mu,988704.1956415736,329.9597531524318,329.9597531524318,988704.1956415736,
P15,AGEM KIRI,3,POST,theta,495820.38869320304,218.01808295120406,218.01808295120406,495820.38869320304,
P15,AGEM KIRI,3,PRA,beta,4896.605945649132,-90.01188948740351,-90.01188948740351,4896.605945649132,
P15,AGEM KIRI,3,PRA,mu,7671.166585478676,-92.16637737685278,-92.16637737685278,7671.166585478676,
P15,AGEM KIRI,3,PRA,theta,9987.629598351863,-91.98412099731279,-91.98412099731279,9987.629598351863,
P15,AGEM KIRI,3,TAHAN,beta,91.80564037880639,-79.51184360069418,-79.51184360069418,91.80564037880639,
P15,AGEM KIRI,3,TAHAN,mu,84.32852988944818,-86.09043024483019,-86.09043024483019,84.32852988944818,
P15,AGEM KIRI,3,TAHAN,theta,10.46988377981545,-86.88015422045603,-86.88015422045603,10.46988377981545,
P15,AGEM KIRI,3,TURUN,beta,1128.4825738362129,-7.647396644881341,-7.647396644881341,1128.4825738362129,
P15,AGEM KIRI,3,TURUN,mu,4035.144916008409,2.5391836420237817,2.5391836420237817,4035.144916008409,
P15,AGEM KIRI,4,NAIK,beta,-91.97663040388541,114.25507303877504,114.25507303877504,-91.97663040388541,
P15,AGEM KIRI,4,NAIK,mu,-81.86647001024369,12.266736192796792,12.266736192796792,-81.86647001024369,
P15,AGEM KIRI,4,NAIK,theta,-94.92799692925742,27.913031979499184,27.913031979499184,-94.92799692925742,
P15,AGEM KIRI,4,POST,beta,12688.879958566848,2432.802942044515,2432.802942044515,12688.879958566848,
P15,AGEM KIRI,4,POST,mu,15541.639202279766,1193.6866092028943,1193.6866092028943,15541.639202279766,
P15,AGEM KIRI,4,POST,theta,2636.3330011024027,1535.636802661723,1535.636802661723,2636.3330011024027,
P15,AGEM KIRI,4,PRA,beta,35071.11779298958,590.8825072704817,590.8825072704817,35071.11779298958,
P15,AGEM KIRI,4,PRA,mu,51663.99775767662,499.10224060655196,499.10224060655196,51663.99775767662,
P15,AGEM KIRI,4,PRA,theta,18241.81099165193,416.2045640935944,416.2045640935944,18241.81099165193,
P15,AGEM KIRI,4,TAHAN,beta,886.4108728053355,148.50322209867463,148.50322209867463,886.4108728053355,
P15,AGEM KIRI,4,TAHAN,mu,1388.9151687015049,-63.04071743609814,-63.04071743609814,1388.9151687015049,
P15,AGEM KIRI,4,TAHAN,theta,224.97149294319075,-67.68952651200877,-67.68952651200877,224.97149294319075,
P15,AGEM KIRI,4,TURUN,beta,7115.86881152945,630.586371911886,630.586371911886,7115.86881152945,
P15,AGEM KIRI,4,TURUN,mu,10289.197281018722,427.26114180913964,427.26114180913964,10289.197281018722,
P15,AGEM KIRI,4,TURUN,theta,3078.024488701557,281.402084612839,281.402084612839,3078.024488701557,
