participant_id,sumber,gerakan,rep,fase,kanal,belahan,datar_frac,ptp_uv,clipping,layak_ketat,delta_db,emg_db
P08,timestamp_manual,Agem Kanan,1,Naik,C3,kiri (A1),0.472,284.1,False,False,-7.189,-7.707
P08,timestamp_manual,Agem Kanan,1,Naik,P3,kiri (A1),0.558,244.2,False,False,-7.861,-13.509
P08,timestamp_manual,Agem Kanan,1,Naik,O1,kiri (A1),0.0,538.5,False,False,-0.338,6.115
P08,timestamp_manual,Agem Kanan,1,Naik,F7,kiri (A1),0.0,427.5,False,False,1.616,5.82
P08,timestamp_manual,Agem Kanan,1,Naik,T3,kiri (A1),0.0,499.9,False,False,0.043,5.274
P08,timestamp_manual,Agem Kanan,1,Naik,T5,kiri (A1),0.732,79.0,False,False,-18.936,-19.179
P08,timestamp_manual,Agem Kanan,1,Naik,Fp2,kanan (A2),0.0,473.6,False,False,13.239,14.569
P08,timestamp_manual,Agem Kanan,1,Naik,F4,kanan (A2),0.346,127.5,False,False,-1.21,11.849
P08,timestamp_manual,Agem Kanan,1,Naik,C4,kanan (A2),0.693,53.3,False,False,-17.22,-2.311
P08,timestamp_manual,Agem Kanan,1,Naik,P4,kanan (A2),0.606,70.2,False,False,-11.075,3.04
P08,timestamp_manual,Agem Kanan,1,Naik,O2,kanan (A2),0.433,180.7,False,False,-3.203,11.755
P08,timestamp_manual,Agem Kanan,1,Naik,F8,kanan (A2),0.0,442.3,False,False,6.359,13.178
P08,timestamp_manual,Agem Kanan,1,Naik,T4,kanan (A2),0.0,624.5,False,False,13.775,17.486
P08,timestamp_manual,Agem Kanan,1,Naik,T6,kanan (A2),0.173,622.3,False,False,14.018,6.638
P08,timestamp_manual,Agem Kanan,1,Berdiri,Fp1,kiri (A1),0.255,448.0,False,False,2.924,0.486
P08,timestamp_manual,Agem Kanan,1,Berdiri,F3,kiri (A1),0.312,418.0,False,False,8.281,5.525
P08,timestamp_manual,Agem Kanan,1,Berdiri,C3,kiri (A1),0.28,330.3,False,False,6.645,5.272
P08,timestamp_manual,Agem Kanan,1,Berdiri,P3,kiri (A1),0.309,263.6,False,False,7.738,4.92
P08,timestamp_manual,Agem Kanan,1,Berdiri,O1,kiri (A1),0.255,612.0,False,False,8.059,2.901
P08,timestamp_manual,Agem Kanan,1,Berdiri,F7,kiri (A1),0.198,515.2,False,False,9.936,5.172
P08,timestamp_manual,Agem Kanan,1,Berdiri,T3,kiri (A1),0.255,555.6,False,False,8.554,4.291
