participant_id,task,rep,phase,band,C3,C4,contra,ipsi,li_erd
P03,AGEM KANAN,3,NAIK,mu,-77.36207277834752,-38.39606312504969,-77.36207277834752,-38.39606312504969,0.3366157320105418
P03,AGEM KANAN,3,NAIK,theta,-92.22592644577126,-36.38526414107063,-92.22592644577126,-36.38526414107063,0.4341819871964831
P03,AGEM KANAN,3,POST,beta,133.20791674667998,76.98356806226569,133.20791674667998,76.98356806226569,
P03,AGEM KANAN,3,POST,mu,198.33412922122895,245.13334947505086,198.33412922122895,245.13334947505086,
P03,AGEM KANAN,3,POST,theta,26.56986376204543,223.7731035372669,26.56986376204543,223.7731035372669,
P03,AGEM KANAN,3,PRA,beta,-88.15053986087082,-74.20846078017475,-88.15053986087082,-74.20846078017475,0.08587191979285573
P03,AGEM KANAN,3,PRA,mu,-93.20711297698882,-70.8613815142428,-93.20711297698882,-70.8613815142428,0.13619757731086066
P03,AGEM KANAN,3,PRA,theta,-93.49546415681164,-69.4285773888144,-93.49546415681164,-69.4285773888144,0.14771844928274397
P03,AGEM KANAN,3,TAHAN,beta,-53.55618708453643,-74.31124462988839,-53.55618708453643,-74.31124462988839,-0.16231699712015538
P03,AGEM KANAN,3,TAHAN,mu,-82.33857021788766,-66.89757110480006,-82.33857021788766,-66.89757110480006,0.10346688795511072
P03,AGEM KANAN,3,TAHAN,theta,-88.42161899501963,-41.13413751916172,-88.42161899501963,-41.13413751916172,0.3649971467742675
P03,AGEM KANAN,3,TURUN,beta,-22.60863053915576,77.56738129838538,-22.60863053915576,77.56738129838538,
P03,AGEM KANAN,3,TURUN,mu,31.608692353701493,141.67995194158706,31.608692353701493,141.67995194158706,
P03,AGEM KANAN,3,TURUN,theta,-67.04665151904032,92.93397296744304,-67.04665151904032,92.93397296744304,
P03,AGEM KANAN,4,NAIK,beta,-45.254486520196636,-15.538441958928075,-45.254486520196636,-15.538441958928075,0.48880758510379313
P03,AGEM KANAN,4,NAIK,mu,-59.09244710372479,-62.23105282264412,-59.09244710372479,-62.23105282264412,-0.025869726152181173
P03,AGEM KANAN,4,NAIK,theta,-62.45158436050881,-70.51139967090484,-62.45158436050881,-70.51139967090484,-0.06061698576569119
P03,AGEM KANAN,4,POST,beta,693.2223405321605,871.7467542036399,693.2223405321605,871.7467542036399,
P03,AGEM KANAN,4,POST,mu,527.2016887762588,533.3190310925326,527.2016887762588,533.3190310925326,
P03,AGEM KANAN,4,POST,theta,188.4298760498597,-15.207028632574803,188.4298760498597,-15.207028632574803,
P03,AGEM KANAN,4,PRA,beta,-44.61732093988313,-55.44668218621196,-44.61732093988313,-55.44668218621196,-0.108224345498973
P03,AGEM KANAN,4,PRA,mu,-68.24603118893592,-78.8028250537641,-68.24603118893592,-78.8028250537641,-0.07179106410324257
P03,AGEM KANAN,4,PRA,theta,-53.68260835321451,-85.73520295061162,-53.68260835321451,-85.73520295061162,-0.2299031543935697
P03,AGEM KANAN,4,TURUN,beta,686.7215001314992,294.9325000985092,686.7215001314992,294.9325000985092,
P03,AGEM KANAN,4,TURUN,mu,269.3440092725204,-46.117504143294774,269.3440092725204,-46.117504143294774,
P03,AGEM KIRI,1,NAIK,beta,-2.3009951600899985,-60.16467052231442,-60.16467052231442,-2.3009951600899985,0.9263276830574736
P03,AGEM KIRI,1,NAIK,mu,-24.121276986099748,20.30501765991976,20.30501765991976,-24.121276986099748,
P03,AGEM KIRI,1,POST,beta,97.3403203235709,367.9426639087432,367.9426639087432,97.3403203235709,
P03,AGEM KIRI,1,POST,mu,259.4535675092808,977.6962769627036,977.6962769627036,259.4535675092808,
P03,AGEM KIRI,1,POST,theta,121.71529285027476,429.05915032165086,429.05915032165086,121.71529285027476,
P03,AGEM KIRI,1,PRA,beta,-12.93808737802428,-51.56235247555788,-51.56235247555788,-12.93808737802428,0.5988217318395314
P03,AGEM KIRI,1,PRA,mu,58.596112096856984,178.29006477543834,178.29006477543834,58.596112096856984,
P03,AGEM KIRI,1,PRA,theta,-21.243163612349143,69.91760724195242,69.91760724195242,-21.243163612349143,
P03,AGEM KIRI,1,TAHAN,beta,-8.286123958681806,-52.730171186429196,-52.730171186429196,-8.286123958681806,0.7283963590717704
P03,AGEM KIRI,1,TAHAN,mu,9.332614018457717,-31.224723768119247,-31.224723768119247,9.332614018457717,
P03,AGEM KIRI,1,TAHAN,theta,-34.55932606326399,-32.98133114041366,-32.98133114041366,-34.55932606326399,-0.023363629970192333
